participantId,surveyType,surveyCondition,timestampIso,nasaRawScore,nasaMental,nasaPhysical,nasaTemporal,nasaPerformance,nasaEffort,nasaFrustration,usabilityScore,usabilityComplete,usabilityItem1,usabilityItem2,usabilityItem3,usabilityItem4,usabilityItem5,usabilityItem6,usabilityItem7,usabilityItem8,comparisonsComplete,cmpControl,cmpPrecision,cmpIntuitive,cmpLearnability,cmpEfficiency,cmpComfort,cmpFatigue,cmpConfidence,cmpSpatialClarity,overallPreference,preferenceReason,spatialUnderstanding,likedMouseOnly,likedHeadMouse,improvements,comments,background3dHoursPerWeek,background3dTools
P-20260328-1A6R,final,,2026-03-28T16:47:31.343Z,,,,,,,,,,,,,,,,,,false,,,,,,,,,3,,,,,,,,,
P-20260328-DC39,mouse-only,mouse-only,2026-03-28T10:51:02.414Z,52.5,70,25,70,60,40,50,56.3,true,2,3,3,3,4,3,4,4,,,,,,,,,,,,,,,,,Ah,,
P-20260328-DC39,final,,2026-03-28T10:51:24.126Z,,,,,,,,,,,,,,,,,,true,2,2,2,2,2,2,2,2,,mouse-only,No!,,,,Yes,,0,
P-20260329-KA7W,mouse-only,mouse-only,2026-03-29T02:32:06.136Z,18.33,25,15,15,5,40,10,100,true,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,
P-20260329-KA7W,head-mouse,head-mouse,2026-03-29T02:46:55.411Z,45,40,45,45,20,65,55,50,true,5,5,2,1,3,3,2,3,,,,,,,,,,,,,,,,,It made me feel dizzy/nauseous,,
P-20260329-KA7W,final,,2026-03-29T02:48:22.752Z,,,,,,,,,,,,,,,,,,true,1,1,3,3,2,3,2,1,2,mouse-only,Dizziness when using the head+mouse method,,It was more precious,Less fatiguing for the hands,"If the head+mouse method had less drifting, it would be easier to use and less nauseating",,lt1,Unity
P-20260330-PFBZ,head-mouse,head-mouse,2026-03-30T21:41:18.778Z,41.67,65,20,50,40,50,25,56.3,true,4,4,3,3,3,3,4,2,,,,,,,,,,,,,,,,,,,
P-20260331-3VRL,mouse-only,mouse-only,2026-03-31T06:47:35.451Z,42.5,60,50,40,0,50,55,84.4,true,5,5,5,4,5,4,4,3,,,,,,,,,,,,,,,,,,,
P-20260331-3VRL,head-mouse,head-mouse,2026-03-31T06:41:50.501Z,35.83,40,40,40,0,60,35,56.3,true,4,5,4,2,3,2,4,2,,,,,,,,,,,,,,,,,,,
P-20260331-3VRL,final,,2026-03-31T06:50:44.783Z,,,,,,,,,,,,,,,,,,true,2,1,2,2,2,2,3,2,4,head-mouse,I feel that the head movement somewhat allows me to feel the scene to be more 3D. And it decreases the feeling of repetiveness.,,Precision and accuracy.,It feels fun and feels more 3D.,,,1-5,"Unity, Unreal Engine"
P-20260331-7JB9,mouse-only,mouse-only,2026-03-31T05:46:12.136Z,26.67,35,35,15,15,30,30,100,true,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,
P-20260331-7JB9,final,,2026-03-31T05:54:39.993Z,,,,,,,,,,,,,,,,,,true,1,1,3,1,1,1,1,1,4,mouse-only,"it is too hard to control the movement with the head. I alway rotate over. And it is hard to tell what is triggered and what is not, when you turn head to one side it rotates this is good, and then you have to turn your head back, and it rotates back! Even if I am turning my head slowly it still senses my turning. So I cannot really rotate the 3D platform because basically it is just moveing back and forth with my head.",,"very precise, effertless",give some exercise to my head and neck,"Mouse is acrtually only rotating the view when (right clicked & moved), so when (!right clicked & moved) the view don't rotate, and your hand can move back. The head is rotating the view when (head turns), and there is not another confirmation to do the & calculation, so whenever the head turns the view turns, but our head and neck cannot twist more than 60 degree so the view basically is hard to change the view, cause you always need to turn back the head and the view rotates back following your head ...",,10+,"Unity, Blender, Sketchup, Rhino, Maya"
P-20260331-8RCT,final,,2026-03-31T08:27:40.945Z,,,,,,,,,,,,,,,,,,true,1,1,3,2,1,1,1,1,2,mouse-only,"The head method is like a tortue tool especially for someone with astigmatism, since we tend to move or look at the screen from an increasing large angle as we look at the screen longer. This head motion detector thing is so sensitive that it detects these angle changes which I don't notice in my everyday life and my neck hurts now.",,"Because my head or my neck doesn't need to maintain certain angle to do the tasks and also I'm kind of used to use mouse. Also for turning the plate(like when you finish positioning the blocks from one side and need to turn the plate and do the other side), it's easier with the mouse since you only need to use the right-click. But with the head motion thing, sometimes I turn the plate too much and it needs to be turn the other clockwise again. This makes me feel that my head is acting like a electric fan.",I don't like it.,"Can you make the head motion detector thing less sensitive? like for a small angle change, it doesn't rotate the plate that much. Or can you make an option, for example at the begining, ask the users to decide a minor head angle change makes how much difference in terms of the plate on the computer screen(for example, extents can be: SLIGHT, NORMAL, A LOT). It may help.",,lt1,"I don't use the 3D softwares mentioned above but I do play some 3D games on my laptop for long hours daily so it may count(?) Like Wherewind Meets this year, trust me its 3D is crazy but still better than your head motion detector."
P-20260331-G0E7,mouse-only,mouse-only,2026-03-31T08:44:17.701Z,50.83,25,15,25,85,80,75,81.3,true,4,4,5,5,5,4,3,4,,,,,,,,,,,,,,,,,"In terms of the experience, the mouse one feels much better than the head one. Can we just stay with mouse/keyboard or gamepad for future technology improvement? Thank you XOXO",,
P-20260331-G0E7,head-mouse,head-mouse,2026-03-31T08:40:17.584Z,76.67,70,70,40,95,90,95,34.4,true,3,3,5,1,2,2,1,2,,,,,,,,,,,,,,,,,"tbh if you can make the head motion sensor not that sensitive, for example a minor head motion changes don't make a big difference on the screen, the experience might be improved significantly. Also for the frustration and mental stress part, I don't blame the camera method entirely since I have already been doubting and questioning myself in terms of capability without the camera thing in my life already. So the high stress level is true but the reasons might be mixed, largely due to my low self-esteem and partly due to this oversensitive camera thing.",,
P-20260331-L47A,head-mouse,head-mouse,2026-03-31T05:20:22.322Z,65,65,50,65,70,75,65,,false,4,,3,2,2,2,2,3,,,,,,,,,,,,,,,,,,,
P-20260331-R46C,mouse-only,mouse-only,2026-03-31T01:46:38.029Z,59.17,70,50,65,40,70,60,87.5,true,4,5,5,4,5,5,4,4,,,,,,,,,,,,,,,,,,,
P-20260331-R46C,head-mouse,head-mouse,2026-03-31T01:59:34.373Z,64.17,75,60,65,60,65,60,43.8,true,2,3,2,2,4,4,2,3,,,,,,,,,,,,,,,,,"I feel like this control method is helpful for situations when you want to move your neck a bit, preventing it from getting stiff in long hours of 3D work.",,
P-20260331-R46C,final,,2026-03-31T02:04:37.010Z,,,,,,,,,,,,,,,,,,true,1,1,2,3,2,3,3,2,4,mouse-only,I'm familiar with mouse-only controls and I can feel less tethered to the virtual space with only mouse clicks (meaning I can move my head whenever I want and will not feel tied to the screen).,,It is precise and it stays where I leave it to be.,It is fluid and helps me move my neck to prevent stiffness and feels more playful.,"Since the mouse only triggers movement when clicked and dragged, I wonder if the head can only ""drag"" the build plane with certain gestures. To prevent the constant floating and turning of the view when I don't intend to change it.",,lt1,"Blender, Fusion360"
P-20260331-UJX2,mouse-only,mouse-only,2026-03-31T18:28:41.566Z,32.5,25,25,25,65,30,25,78.1,true,5,5,3,3,4,3,5,5,,,,,,,,,,,,,,,,,mouse only,,
P-20260331-XD80,head-mouse,head-mouse,2026-03-31T06:01:51.002Z,83.33,95,80,55,80,100,90,9.4,true,3,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,Too hard to control!,,
P-20260331-ZHVR,mouse-only,mouse-only,2026-03-31T20:23:49.471Z,0,0,0,0,0,0,0,100,true,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,
