participantId,condition,trialIndex,stage,mode,reason,elapsedMs,elapsedSec,hiddenFoundCount,hiddenTotalCount,positionError,cameraErrorDeg,totalRepositions,repositionCounts
P-20260328-DC39,mouse-only,0,mouse-running,structure-build,structure-complete,11576.800000011921,11.577,5,5,0,,6,"[1,1,2,1,1]"
P-20260329-KA7W,mouse-only,0,mouse-running,structure-build,structure-complete,31038,31.038,5,5,0,,7,"[0,1,1,2,3]"
P-20260329-KA7W,mouse-only,1,mouse-running,structure-build,structure-complete,20581,20.581,5,5,0,,6,"[1,1,1,1,2]"
P-20260329-KA7W,mouse-only,2,mouse-running,structure-build,structure-complete,13698,13.698,5,5,0,,5,"[1,1,1,1,1]"
P-20260329-KA7W,mouse-only,3,mouse-running,structure-build,structure-complete,44270,44.270,5,5,0,,19,"[5,4,3,4,3]"
P-20260329-KA7W,mouse-only,4,mouse-running,structure-build,structure-complete,23542,23.542,5,5,0,,8,"[1,3,1,2,1]"
P-20260329-KA7W,mouse-only,5,mouse-running,structure-build,structure-complete,16406,16.406,5,5,0,,8,"[1,1,2,2,2]"
P-20260329-KA7W,mouse-only,6,mouse-running,structure-build,structure-complete,35841,35.841,5,5,0,,10,"[1,2,3,3,1]"
P-20260329-KA7W,mouse-only,7,mouse-running,structure-build,structure-complete,48298,48.298,5,5,0,,8,"[2,1,1,2,2]"
P-20260329-KA7W,mouse-only,8,mouse-running,structure-build,structure-complete,23583,23.583,5,5,0,,6,"[1,2,1,1,1]"
P-20260329-KA7W,mouse-only,9,mouse-running,structure-build,structure-complete,41162,41.162,5,5,0,,8,"[1,2,2,1,2]"
P-20260329-KA7W,mouse-only,10,mouse-running,structure-build,structure-complete,25516,25.516,5,5,0,,7,"[2,1,1,2,1]"
P-20260329-KA7W,mouse-only,11,mouse-running,structure-build,structure-complete,17927,17.927,5,5,0,,7,"[1,2,1,2,1]"
P-20260329-KA7W,head-mouse,0,head-running,structure-build,structure-complete,24063,24.063,5,5,0,,10,"[4,1,1,1,3]"
P-20260329-KA7W,head-mouse,1,head-running,structure-build,timeout,90000,90.000,1,5,4,,9,"[2,1,1,2,3]"
P-20260329-KA7W,head-mouse,2,head-running,structure-build,structure-complete,46031,46.031,5,5,0,,12,"[3,3,2,2,2]"
P-20260329-KA7W,head-mouse,3,head-running,structure-build,structure-complete,22982,22.982,5,5,0,,7,"[2,1,1,1,2]"
P-20260329-KA7W,head-mouse,4,head-running,structure-build,structure-complete,19088,19.088,5,5,0,,5,"[1,1,1,1,1]"
P-20260329-KA7W,head-mouse,5,head-running,structure-build,structure-complete,51379,51.379,5,5,0,,12,"[2,3,4,2,1]"
P-20260329-KA7W,head-mouse,6,head-running,structure-build,structure-complete,18554,18.554,5,5,0,,4,"[1,1,1,1,0]"
P-20260329-KA7W,head-mouse,7,head-running,structure-build,structure-complete,18274,18.274,5,5,0,,7,"[2,1,2,1,1]"
P-20260329-KA7W,head-mouse,8,head-running,structure-build,structure-complete,32559,32.559,5,5,0,,8,"[2,1,2,2,1]"
P-20260329-KA7W,head-mouse,9,head-running,structure-build,structure-complete,62917,62.917,5,5,0,,8,"[2,1,1,2,2]"
P-20260329-KA7W,head-mouse,10,head-running,structure-build,structure-complete,24783,24.783,5,5,0,,7,"[1,1,1,2,2]"
P-20260329-KA7W,head-mouse,11,head-running,structure-build,structure-complete,29371,29.371,5,5,0,,9,"[2,2,1,2,2]"
P-20260330-PFBZ,head-mouse,0,head-running,structure-build,structure-complete,46567,46.567,5,5,0,,12,"[3,2,3,2,2]"
P-20260330-PFBZ,head-mouse,1,head-running,structure-build,structure-complete,70600,70.600,5,5,0,,8,"[3,1,1,2,1]"
P-20260330-PFBZ,head-mouse,2,head-running,structure-build,timeout,90000,90.000,3,5,2,,11,"[2,2,2,2,3]"
P-20260330-PFBZ,head-mouse,3,head-running,structure-build,timeout,90000,90.000,4,5,1,,8,"[2,1,2,2,1]"
P-20260330-PFBZ,head-mouse,4,head-running,structure-build,timeout,90000,90.000,3,5,2,,16,"[4,2,4,4,2]"
P-20260330-PFBZ,head-mouse,5,head-running,structure-build,structure-complete,39666,39.666,5,5,0,,5,"[1,1,1,1,1]"
P-20260330-PFBZ,head-mouse,6,head-running,structure-build,timeout,90000,90.000,2,5,3,,18,"[5,2,5,3,3]"
P-20260330-PFBZ,head-mouse,7,head-running,structure-build,timeout,90000,90.000,4,5,1,,10,"[1,2,2,2,3]"
P-20260330-PFBZ,head-mouse,8,head-running,structure-build,structure-complete,26331,26.331,5,5,0,,6,"[1,1,1,2,1]"
P-20260330-PFBZ,head-mouse,9,head-running,structure-build,structure-complete,16871,16.871,5,5,0,,6,"[1,1,2,1,1]"
P-20260330-PFBZ,head-mouse,10,head-running,structure-build,structure-complete,20634,20.634,5,5,0,,4,"[1,1,1,1,0]"
P-20260330-PFBZ,head-mouse,11,head-running,structure-build,structure-complete,56066,56.066,5,5,0,,7,"[2,1,1,2,1]"
P-20260331-3VRL,mouse-only,0,mouse-running,structure-build,structure-complete,12907,12.907,5,5,0,,8,"[2,1,2,2,1]"
P-20260331-3VRL,mouse-only,1,mouse-running,structure-build,structure-complete,19643,19.643,5,5,0,,12,"[0,3,4,2,3]"
P-20260331-3VRL,mouse-only,2,mouse-running,structure-build,structure-complete,13586,13.586,5,5,0,,8,"[0,1,2,3,2]"
P-20260331-3VRL,mouse-only,3,mouse-running,structure-build,structure-complete,9885,9.885,5,5,0,,5,"[1,1,1,2,0]"
P-20260331-3VRL,mouse-only,4,mouse-running,structure-build,structure-complete,10127,10.127,5,5,0,,7,"[1,1,1,3,1]"
P-20260331-3VRL,mouse-only,5,mouse-running,structure-build,structure-complete,12895,12.895,5,5,0,,9,"[2,0,2,4,1]"
P-20260331-3VRL,mouse-only,6,mouse-running,structure-build,structure-complete,13569,13.569,5,5,0,,7,"[2,1,1,3,0]"
P-20260331-3VRL,mouse-only,7,mouse-running,structure-build,structure-complete,12483,12.483,5,5,0,,7,"[2,1,1,2,1]"
P-20260331-3VRL,mouse-only,8,mouse-running,structure-build,structure-complete,11050,11.050,5,5,0,,7,"[0,2,2,2,1]"
P-20260331-3VRL,mouse-only,9,mouse-running,structure-build,structure-complete,14472,14.472,5,5,0,,7,"[1,0,2,3,1]"
P-20260331-3VRL,mouse-only,10,mouse-running,structure-build,structure-complete,59114,59.114,5,5,0,,17,"[4,1,2,3,7]"
P-20260331-3VRL,mouse-only,11,mouse-running,structure-build,structure-complete,18739,18.739,5,5,0,,10,"[1,2,2,3,2]"
P-20260331-3VRL,head-mouse,0,head-running,structure-build,structure-complete,12969,12.969,5,5,0,,7,"[1,1,2,2,1]"
P-20260331-3VRL,head-mouse,1,head-running,structure-build,structure-complete,15884,15.884,5,5,0,,6,"[0,2,1,2,1]"
P-20260331-3VRL,head-mouse,2,head-running,structure-build,structure-complete,19391,19.391,5,5,0,,9,"[1,2,3,2,1]"
P-20260331-3VRL,head-mouse,3,head-running,structure-build,structure-complete,57060,57.060,5,5,0,,12,"[3,2,3,3,1]"
